Symbol,Score
JUBLINGREA,37
POLICYBZR,37
ADANIPORTS,37
GANESHCP,37
JINDALSTEL,37
SBC,37
GREENLAM,37
SULA,37
REPCOHOME,37
KPRMILL,37
GANECOS,37
TATAINVEST,37
DELTACORP,37
WINDMACHIN,35
PVP,35
YATRA,35
SUYOG,35
MODEFENCE,35
PREMIERPOL,35
EIFFL,35
OLAELEC,35
NITINSPIN,35
HDFCMID150,35
PSUBANK,35
HAPPSTMNDS,35
UNIONGOLD,35
ZEEMEDIA,35
FAZE3Q,35
DIVOPPBEES,35
WANBURY,35
QGOLDHALF,35
TVSSCS,35
INDOTHAI,35
LOWVOLIETF,35
CRIZAC,35
AUTOBEES,35
NFL,35
BANKIETF,35
TRAVELFOOD,35
ALPL30IETF,35
TIPSMUSIC,35
NEXT50IETF,35
JSFB,35
MOM100,35
BANKNIFTY1,35
MOCAPITAL,35
RKSWAMY,35
AGI,35
GUFICBIO,35
ALPHAETF,35
BANKBETA,35
ICICIB22,35
TOP100CASE,35
GOLDCASE,35
MIDCAPIETF,35
PRABHA,32
SILVERBETA,32
NITCO,32
BLUSPRING,32
SAATVIKGL,32
TEAMLEASE,32
COFFEEDAY,32
IOLCP,32
KHADIM,32
CHEMFAB,32
SILVERCASE,32
HINDALCO,32
IRISDOREME,32
PARAGMILK,30
JKPAPER,30
BHAGERIA,30
SCHAEFFLER,30
SOLARWORLD,30
ABLBL,30
LICHSGFIN,30
INDOTECH,30
FABTECH,30
HARSHA,30
PITTIENG,30
UJJIVANSFB,30
CARYSIL,30
CENTURYPLY,30
EQUITASBNK,30
MEDANTA,30
BAJAJELEC,30
FIVESTAR,30
DLINKINDIA,30
LLOYDSME,30
DECCANCE,30
SDBL,30
ATULAUTO,30
DPABHUSHAN,30
FOSECOIND,30
DLF,30
WESTLIFE,30
JMFINANCIL,30
ALOKINDS,30
ABREL,30
NEXT50BETA,30
FILATEX,30
KPIGREEN,30
CARRARO,30
HDFCNIFBAN,30
SFL,30
ITDC,30
ABDL,30
BERGEPAINT,30
IITL,30
TRIDENT,30
IMAGICAA,30
IVALUE,30
PRUDENT,30
MIDSMALL,30
BHARATFORG,30
KALYANKJIL,30
ADFFOODS,30
ARVINDFASN,30
WINDLAS,30
ORISSAMINE,30
SAREGAMA,30
SMALLCAP,30
PLATIND,30
INFRABEES,30
TBOTEK,30
COALINDIA,30
VMM,30
ROSSTECH,30
MSUMI,30
AIIL,30
EBBETF0431,30
GATEWAY,30
SETFNN50,30
EUREKAFORB,30
IBULLSLTD,30
STAR,30
BUILDPRO,30
TNPL,30
CRISIL,30
DIVISLAB,30
DIXON,30
SRF,30
SANDUMA,30
JTLIND,30
NATIONALUM,30
ALGOQUANT,30
AVANTEL,30
SYRMA,30
COSMOFIRST,30
NIFTYETF,30
BHAGCHEM,30
CANBK,30
NIFTY1,30
TOP10ADD,30
SIS,25
PSUBNKBEES,25
EXICOM,25
CAMS,25
ASIANPAINT,25
TARIL,25
GOPAL,25
ACMESOLAR,25
LIQUIDCASE,25
MATRIMONY,25
GNFC,25
ICICIGI,25
MON100,25
ENTERO,25
PARKHOTELS,25
BLSE,25
HFCL,25
ITIETF,25
BAJAJHLDNG,25
MAXHEALTH,25
DBL,25
SCILAL,25
DHANUKA,25
AGIIL,25
FSL,25
MAITHANALL,25
GUJALKALI,25
RELTD,25
PGIL,25
FIRSTCRY,25
METALIETF,25
ORIENTTECH,25
AEGISLOG,25
GARUDA,25
PNGJL,25
TIIL,25
APLAPOLLO,25
GROWWDEFNC,25
METAL,25
DIFFNKG,25
APOLLOPIPE,25
ASTRAL,25
TARACHAND,25
ASHIANA,25
ADSL,25
INDGN,25
AADHARHFC,25
MASFIN,25
GOACARBON,25
BSLGOLDETF,25
ECLERX,25
FORTIS,25
PHOENIXLTD,25
ICRA,25
MID150CASE,25
DEEDEV,25
SYMPHONY,25
STANLEY,25
JKTYRE,25
BANSALWIRE,25
LAOPALA,25
GLAND,25
PSB,25
GICHSGFIN,25
IMFA,25
LTTS,25
KIRLOSBROS,25
ZAGGLE,25
VERTOZ,25
CIPLA,25
LIQUID,25
INDUSTOWER,25
ITBEES,25
LAXMIDENTL,25
CUPID,25
ORCHPHARMA,25
DAMCAPITAL,25
IRMENERGY,25
ELGIEQUIP,25
PRICOLLTD,25
ITETF,25
SETF10GILT,25
GRAPHITE,25
DIACABS,25
GPTINFRA,25
LGHL,25
KECL,25
MINDTECK,25
DCMSHRIRAM,25
VLEGOV,25
YASHO,25
WHIRLPOOL,25
SBICARD,25
DOLPHIN,25
UNIMECH,25
AEROFLEX,25
RATNAVEER,25
