Symbol,Score
SERVOTECH,40
ACUTAAS,40
VIJAYA,40
CYIENT,40
MUKKA,40
GRINDWELL,40
FINEORG,40
EUREKAFORB,40
GALAPREC,40
IBULLSLTD,40
SUNDRMFAST,40
VSTIND,40
SUNPHARMA,40
TATACOMM,40
LTF,40
RELAXO,40
VINDHYATEL,40
INTERARCH,40
STANLEY,40
MAHLOG,40
TATAELXSI,40
SOLARA,40
BEL,40
NAVA,40
UNICHEMLAB,40
TATAPOWER,40
ADANIGREEN,40
TTKPRESTIG,40
AGIIL,40
MAITHANALL,40
SANSTAR,40
TITAN,40
TATACONSUM,40
TMPV,40
TATASTEEL,40
TIRUMALCHM,40
THERMAX,40
VADILALIND,40
THOMASCOOK,40
SPMLINFRA,40
BAJAJHFL,40
SIEMENS,40
JGCHEM,40
KRYSTAL,40
REMSONSIND,40
GOCLCORP,40
SRM,40
BHARTIHEXA,40
SIMPLEXINF,40
BALUFORGE,40
GILT5YBEES,40
BASF,40
SYMPHONY,40
DEEDEV,40
IXIGO,40
ARIHANTCAP,40
ZEEL,40
TOP10ADD,40
BATAINDIA,40
TDPOWERSYS,40
PIIND,40
WIPRO,40
KROSS,40
INFRABEES,37
LICMFGOLD,37
SHREEJISPG,37
GOLDIETF,37
AXISGOLD,37
POLYMED,37
IITL,37
JAINREC,37
IVALUE,37
GROWW,37
FABTECH,37
ROSSARI,37
EGOLD,37
SETFGOLD,37
RGL,37
EMCURE,37
ZYDUSWELL,37
SAILIFE,37
RISHABH,37
JKIL,37
GODREJPROP,37
SANDUMA,37
DENTA,37
MCX,37
DBREALTY,37
NIFTY1,37
KSCL,37
JUBLFOOD,37
CONCORDBIO,37
BAJAJELEC,37
NIFTYIETF,37
REPCOHOME,37
GOLDBND,37
SCODATUBES,37
GOLD1,37
POWERINDIA,37
GOLDADD,37
HDFCSML250,37
MOIL,37
GLOBECIVIL,37
GOLDETF,37
SJVN,37
ABDL,37
TATSILV,37
DDEVPLSTIK,37
GOLDBEES,37
NUVAMA,37
NAHARSPING,37
GOLDBETA,37
MOGOLD,37
SHILPAMED,37
GOLD360,37
AARTIIND,37
LODHA,37
CARYSIL,37
NIFTYETF,37
PRIVISCL,37
GODREJIND,37
POLICYBZR,37
HEALTHIETF,37
CENTURYPLY,37
RAILTEL,37
NAVNETEDUL,37
BLUESTARCO,37
TTKHLTCARE,37
GRMOVER,37
